game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,20,[4.688262832|4.499035674|4.7893391229999995|4.335517638999999|4.064090192999998|4.258468528999998|3.797805608000001|4.529612957999994|4.204422301000001|4.086660815000002],mate_in_2,0,draw,100,UCB
game1,20,[5.010268027999999|4.906547073999995|4.385628967000002|4.2239236849999955|4.878719832999991|4.614546603000008|4.577501579|4.838894565999993|4.839211325000008|4.482631071],mate_in_2,0,draw,100,UCB
game2,20,[4.340187544999992|3.951105049000006|4.327252297000001|3.724099221000003|4.421290764999995|4.485829297000009|4.529737877000002|4.588729647000008|4.416857971999988|4.968341905000017],mate_in_2,0,draw,100,UCB
game3,3,[4.312110777000015|1.4722806460000015],mate_in_2,0,White,100,UCB
game4,13,[4.693256160999994|4.40204854000001|4.792534649999993|4.46320279599999|3.218277544000017|3.9124071340000057|1.624277056000011],mate_in_2,0,White,100,UCB
game5,20,[4.6471127110000054|3.491674981000017|4.211154518000001|4.622529694999997|4.394707703999984|4.810416521000008|4.724996779999998|4.561673093999985|4.358524097999975|4.6975763770000185],mate_in_2,0,draw,100,UCB
game6,20,[4.589819863000002|4.731909562999988|4.763779363000026|4.186582519000012|3.789534009000022|4.148194662000009|4.522790609999987|4.499153965999994|4.3509679670000025|4.041804234000011],mate_in_2,0,draw,100,UCB
game7,3,[4.300744401000031|1.690808101000016],mate_in_2,0,White,100,UCB
game8,20,[4.638673078000011|4.23955636300002|4.674237730000016|4.871669256000018|4.685042194000005|4.526438029000019|4.452037290000021|4.59780699800001|4.987662483000008|4.901561538999999],mate_in_2,0,draw,100,UCB
game9,20,[4.057824253000035|4.1197448290000125|4.626141758000017|4.706156913000029|4.406871393000017|4.862016202000007|4.84030071899997|4.793573552999987|4.320344164000005|4.267576464000001],mate_in_2,0,draw,100,UCB
game0,5,[6.063960393000002|5.78021590100002|1.5248263459999976],mate_in_3,0,White,100,UCB
game1,7,[5.672094455000035|5.8750110060000225|5.919420841000033|1.901492889999986],mate_in_3,0,White,100,UCB
game2,20,[5.814656864000028|5.899368682000045|6.106823598000005|5.697278274999974|5.689475747000017|5.528556551999998|5.99082054400003|5.28711801999998|5.772577791000003|5.509130748000018],mate_in_3,0,draw,100,UCB
game3,20,[5.748886206999998|5.985414380999998|5.755820457000027|5.733154478000017|5.677652211999998|6.002293925000004|5.757317515000011|5.243590889000018|5.582470167999986|4.918557978000024],mate_in_3,0,draw,100,UCB
game4,20,[5.454992371999992|5.814891534999958|5.525263939999945|5.640428229000008|5.715897606999988|5.299468588999957|5.7302386420000175|6.066183034000005|5.342954833000022|3.028159338000023],mate_in_3,0,draw,100,UCB
game5,20,[5.188844184000004|5.824449785999946|5.619529402000012|6.20899964900002|6.232701635000012|6.20957960599992|6.141140575999998|6.051072953000016|5.943829434000008|5.505796574999977],mate_in_3,0,draw,100,UCB
game6,20,[5.612663850999979|6.471447571999988|6.004822470000022|6.104948241999978|5.886616692999951|5.7178344179999385|6.334122904999958|5.72581634200003|5.337621347000095|2.261856705000014],mate_in_3,0,draw,100,UCB
game7,11,[5.629002054000011|5.9864811500000314|5.553159234000077|5.289447664000022|4.667097586999944|2.0508302619999768],mate_in_3,0,White,100,UCB
game8,20,[6.069967838000025|5.826085192999926|5.000180827000008|5.973882233999916|5.838799209999934|5.483309473000077|5.263520465999932|1.9094870879999917|5.511925808000001|5.3356480600000395],mate_in_3,0,draw,100,UCB
game9,20,[5.747487237999962|5.010443641999927|5.818276008999987|6.010032695999939|5.679115707000051|6.300436250999951|6.289362339000036|6.41696612699991|6.421031684000013|6.1940008609999495],mate_in_3,0,draw,100,UCB
