game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,20,[2.728163301|2.4923671059999997|2.6634777090000004|2.535996462|2.4642511359999997|2.390361050000001|2.598830979999999|2.563539018|2.6098169930000026|2.309349957000002],mate_in_2,0,draw,50,UCB
game1,20,[2.2447556389999974|2.3807473150000007|2.545189442999998|2.1326575049999974|2.408988444000002|2.193649071000003|2.519011155000001|1.9629310440000012|2.3647873829999995|2.425098118000001],mate_in_2,0,draw,50,UCB
game2,20,[2.117617967000001|2.423874523000002|2.455915574999999|2.4265895599999965|2.269789272000004|2.313375473000008|2.141778761000012|2.104982790000008|2.2818926519999962|1.8373712080000075],mate_in_2,0,draw,50,UCB
game3,2,[2.334161559000009],mate_in_2,0,Black,50,UCB
game4,7,[2.336263971000008|2.340947400999994|2.6235157649999934|2.2029599349999955],mate_in_2,0,White,50,UCB
game5,3,[2.1890683710000047|1.5525707490000116],mate_in_2,0,White,50,UCB
game6,20,[2.3104704389999995|2.40054190299999|2.5476204149999973|2.569116179000005|2.431777654000001|2.365245738999988|2.109921841000002|2.232862115000003|2.2030758030000044|2.487671523000003],mate_in_2,0,draw,50,UCB
game7,7,[2.3733863799999995|2.0359573030000035|2.351504109000004|1.0654841110000035],mate_in_2,0,White,50,UCB
game8,3,[2.0895716530000072|1.3530715600000036],mate_in_2,0,White,50,UCB
game9,3,[2.5351568669999978|1.9020243430000079],mate_in_2,0,White,50,UCB
game0,20,[3.1799356930000044|2.948607272000004|2.8019012899999893|2.811449818|2.706698081000013|2.9500535100000036|2.9944183860000066|2.959740732|2.4946382930000084|2.6318958690000045],mate_in_3,0,draw,50,UCB
game1,20,[3.393041449000009|3.351947702000018|3.2057457859999943|3.3937683199999924|3.08612680600001|2.8298371850000024|3.160813014000013|2.867068121999978|2.780929957000012|2.850814638000003],mate_in_3,0,draw,50,UCB
game2,5,[2.916654719999997|3.080094626999994|2.462650803999992],mate_in_3,0,White,50,UCB
game3,5,[2.928222871999992|3.1418011769999907|1.6822764690000156],mate_in_3,0,White,50,UCB
game4,20,[3.344426924000004|2.7007861319999904|2.9698156420000146|3.1896890950000056|3.374458188999995|2.890104575999999|3.413116785999989|2.750258305000017|2.9914495010000053|2.7526850389999993],mate_in_3,0,draw,50,UCB
game5,20,[2.983456177999983|3.176246519000017|3.2252349390000177|3.1633226790000037|3.2272772110000005|3.068386406000002|3.123051489999966|3.0503721950000227|3.2555031649999933|3.356242047999956],mate_in_3,0,draw,50,UCB
game6,11,[2.933729315999983|3.2273131229999876|3.416535479999993|3.1609047279999913|3.0104307010000184|1.968492953000009],mate_in_3,0,White,50,UCB
game7,20,[3.2488165080000044|3.178272511999978|3.124960458999965|3.218237802000033|2.9408385070000236|3.263185901999975|3.252163032999988|3.1219681630000196|3.131824455999947|2.922364657000003],mate_in_3,0,draw,50,UCB
game8,20,[3.0664508919999776|3.2435099939999645|2.894448140999998|2.9818895419999762|2.6972198219999655|2.6546823959999983|2.7300455640000223|2.7353294060000053|2.7224743829999625|2.4705700009999987],mate_in_3,0,draw,50,UCB
game9,20,[3.2621640360000015|2.6943339189999733|2.9687640300000453|3.021021743999995|3.045646825999995|2.7554466909999746|3.0494503130000226|2.9729398919999994|3.183368023000014|2.6812394140000038],mate_in_3,0,draw,50,UCB
