game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,2,[9.839214222],mate_in_2,0,Black,200,UCB
game1,20,[8.069492537999999|10.463798023000003|9.039718390999997|9.348671291999999|8.892785545999999|9.608100941999993|9.328044746999993|10.222608667000003|8.898044561000006|9.858920214000008],mate_in_2,0,draw,200,UCB
game2,3,[8.732301906999993|2.4961054719999964],mate_in_2,0,White,200,UCB
game3,11,[9.810718319000003|9.717574196000001|9.837053766999986|8.763853495999996|10.441300839999997|2.2945558410000046],mate_in_2,0,White,200,UCB
game4,13,[9.431366913999994|9.80347786599998|10.336312488000004|9.570190116999981|8.621672141999994|6.8201658609999924|2.0076164810000137],mate_in_2,0,White,200,UCB
game5,13,[9.655647622000004|8.331753386999992|9.876462521999997|9.860935989000012|10.781917421999992|8.918002982999951|2.3898768429999677],mate_in_2,0,White,200,UCB
game6,13,[7.268922222000015|10.284913845999995|10.250586937000037|9.187217641000018|6.669084202000022|2.129655337000031|2.1373684700000126],mate_in_2,0,White,200,UCB
game7,11,[9.63046269900002|9.637471212000037|9.71412758699995|10.360801095999989|5.760644364000029|2.457726617999981],mate_in_2,0,White,200,UCB
game8,13,[9.654403304000027|9.635993903000042|9.744700403999957|7.026575266999998|10.180084109000006|9.871836351000013|1.8815917919999947],mate_in_2,0,White,200,UCB
game9,20,[8.501070260000006|9.949565927000037|10.435473557000023|6.689658710999993|9.686977781999985|10.050018428000044|10.021748160000016|10.118994234000013|8.525991650000037|9.845289675999993],mate_in_2,0,draw,200,UCB
game0,20,[13.165386487000092|12.60754746400005|12.442421357000057|12.638842103000002|12.73566646300003|11.825862356000016|12.551756094000098|12.309124020000013|11.210219454000026|10.959012258999905],mate_in_3,0,draw,200,UCB
game1,20,[11.541210795999973|12.415401949000056|12.791249014000073|12.437730698999985|11.749374719000002|11.788272343000017|11.738496735000012|12.293137505000004|11.712825123000016|11.433236619000013],mate_in_3,0,draw,200,UCB
game2,20,[12.213288990000024|12.03476238799999|12.298140939000064|7.891268271000058|10.681606896000062|9.96073262699997|8.127754607000043|11.87339311300002|8.551284578000036|7.7248801770000455],mate_in_3,0,draw,200,UCB
game3,11,[11.972840222999935|8.851646410999933|11.725831521000032|12.362460200999976|11.688489167999933|2.5268095950000315],mate_in_3,0,White,200,UCB
game4,3,[12.665460018999966|2.7591182969999863],mate_in_3,0,White,200,UCB
game5,20,[12.813941175000082|11.96719882100001|13.116239367000048|12.992773306999993|11.764954100000068|11.69904710100002|11.406551289000163|11.354596276999928|10.970892239000023|11.385077153999873],mate_in_3,0,draw,200,UCB
game6,11,[12.945313949000138|12.166738058000192|12.693679503000112|13.76706553300005|12.129920358000163|2.2610172490001332],mate_in_3,0,White,200,UCB
game7,20,[10.217007818999946|12.723600127000054|9.870518390999905|12.135684394999998|12.52654398499999|12.068585298000016|13.089007492000064|12.063020410000036|11.858609163999972|11.720516439999983],mate_in_3,0,draw,200,UCB
game8,20,[12.829185221999978|13.144355954000048|12.62025207900001|13.274545000999979|12.68688612799997|11.517164145999914|5.151833291999992|5.9964713209999445|11.820238537000023|11.521338643000036],mate_in_3,0,draw,200,UCB
game9,20,[12.153576107000163|13.078181605000054|13.25052880499993|13.915999838000062|12.876711632000024|11.96742717699999|12.266983801000151|12.010099998999976|13.15292040899999|12.989632659000108],mate_in_3,0,draw,200,UCB
