game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,20,[6.6768049309999995|20.139132794|19.548063718|17.78220118200001|11.725503674999999|8.641017367999993|19.654864634000006|19.987455362000006|13.198514327000012|17.22047330000001],mate_in_2,0,draw,400,UCB
game1,20,[18.880369201999997|20.620259595999983|14.916707732999981|14.916658399|7.374434122999986|6.671212983999993|9.067880608999985|11.424861467000028|6.779267446000006|10.734207636000008],mate_in_2,0,draw,400,UCB
game2,9,[11.954876715000012|20.22684635500002|8.914392599999985|9.76115475100005|3.3951717879999705],mate_in_2,0,White,400,UCB
game3,20,[19.14394869099999|18.982775371000002|19.841104260999998|19.777318022999964|12.89443732999996|19.173062758000015|18.137114171999997|14.88505249299999|9.883500520999974|8.05678803699999],mate_in_2,0,draw,400,UCB
game4,20,[20.40458790300005|21.36705468699995|20.375483748999955|20.952541305000068|20.000581160000024|15.721542740000018|21.166825646999996|21.321773484999994|20.834715020999965|9.589263492999976],mate_in_2,0,draw,400,UCB
game5,3,[20.632080040999995|3.3401992320000318],mate_in_2,0,White,400,UCB
game6,17,[11.261331618999975|19.850791516999948|20.067687716000023|16.60054121099995|17.85471961799999|17.363895202000094|17.442450680000093|14.966457070000047|2.846413732999963],mate_in_2,0,White,400,UCB
game7,13,[8.132318886000007|15.459131229000036|20.163110630000006|19.81133550000004|17.850527821000014|5.467780734999906|3.1884044540000787],mate_in_2,0,White,400,UCB
game8,3,[18.720960812000044|3.211061115000007],mate_in_2,0,White,400,UCB
game9,20,[16.183070387000043|18.928952120999952|19.927376025999934|7.246818537999957|20.430578769999897|19.64438690200018|20.456035175999887|20.057510860999855|19.81356138199999|15.516594448999967],mate_in_2,0,draw,400,UCB
game0,9,[24.339464252000198|25.41440222999995|23.905809909000027|8.55641787500008|3.1923502820000067],mate_in_3,0,White,400,UCB
game1,20,[21.51844361099984|26.637687642999936|12.902858939999987|14.805694936000009|24.85932336399992|24.430139690000033|22.581264996999835|24.582058737000125|25.235672029999932|22.411616116999994],mate_in_3,0,draw,400,UCB
game2,7,[24.33205313999997|23.613627106999957|7.177914377999969|3.062323387000106],mate_in_3,0,White,400,UCB
game3,17,[24.724718703999997|23.26840710400006|23.92967700300005|24.207264341999917|20.367428793000045|15.68668885299985|7.659743300000173|6.898888955999837|2.8304659049999827],mate_in_3,0,White,400,UCB
game4,20,[24.16982598499999|24.83630762400003|23.917580412999996|24.87682804699989|24.281868917999873|24.706807946000026|24.425793031000012|25.01852125000005|23.83662965199983|24.6632310399998],mate_in_3,0,draw,400,UCB
game5,5,[24.395009684000115|24.712306636999983|3.5035034630000155],mate_in_3,0,White,400,UCB
game6,7,[18.818927396000163|9.927822248999973|9.84865443700005|3.1132741419999093],mate_in_3,0,White,400,UCB
game7,20,[24.01661332399999|24.058310253999935|10.999306965000187|24.592504156999894|23.76741579999998|22.698935854999945|24.830483434000143|18.184275444999912|23.72814583599984|16.608938672000022],mate_in_3,0,draw,400,UCB
game8,20,[25.076827430999856|23.286269947000164|23.932152122999923|23.766048237999712|23.739784987999883|24.81043343600004|24.417429095999978|23.993290277000142|24.122990159999972|23.292358846000297],mate_in_3,0,draw,400,UCB
game9,20,[25.12687552200032|20.53486043799967|24.866339525000058|21.381741291000253|14.636357590999978|9.221827775999827|20.982421871000042|15.592158023999673|9.366857177999918|23.85688843400021],mate_in_3,0,draw,400,UCB
