game,move_count,move_times,moves,moves_to_mate,starting_variation,winner,sims,exploration_alg
game35,6,"[71.01911027000006, 36.44740069999989, 72.15296317999946]","[Move.from_uci('g1h3'), Move.from_uci('d2d4'), Move.from_uci('d1d2')]",,,draw,800,UCB
game36,6,"[72.02854261999983, 42.29586405000009, 70.70211586999994]","[Move.from_uci('e2e3'), Move.from_uci('d1h5'), Move.from_uci('h5h7')]",,,draw,800,UCB
game37,6,"[70.14957694999976, 69.4632706500006, 70.3511360299999]","[Move.from_uci('f2f3'), Move.from_uci('f3f4'), Move.from_uci('a2a3')]",,,draw,800,UCB
game38,6,"[69.0304110800007, 70.23169856999993, 69.57908391000001]","[Move.from_uci('c2c4'), Move.from_uci('b2b4'), Move.from_uci('h2h3')]",,,draw,800,UCB
game39,6,"[70.56253779999952, 70.94110362999982, 69.26817004000077]","[Move.from_uci('g2g4'), Move.from_uci('f2f4'), Move.from_uci('b2b3')]",,,draw,800,UCB
game40,6,"[69.92020076999961, 71.1041500299998, 69.73726374999933]","[Move.from_uci('h2h3'), Move.from_uci('b2b3'), Move.from_uci('h3h4')]",,,draw,800,UCB
game41,6,"[71.62553990000015, 71.33884487999967, 70.12326924000081]","[Move.from_uci('g2g3'), Move.from_uci('e2e4'), Move.from_uci('f1e2')]",,,draw,800,UCB
game42,6,"[70.33954696999899, 69.45245224999962, 69.27566409000065]","[Move.from_uci('a2a4'), Move.from_uci('g1f3'), Move.from_uci('a1a2')]",,,draw,800,UCB
game43,6,"[71.32482204999906, 71.77690033999897, 70.04132157999993]","[Move.from_uci('h2h3'), Move.from_uci('c2c4'), Move.from_uci('f2f3')]",,,draw,800,UCB
game44,6,"[70.29082625999945, 10.80976894000014, 67.98042632999932]","[Move.from_uci('g2g3'), Move.from_uci('e2e4'), Move.from_uci('h2h3')]",,,draw,800,UCB
game45,6,"[71.71685738999986, 68.93122106999908, 70.11231272000077]","[Move.from_uci('g1f3'), Move.from_uci('b1a3'), Move.from_uci('h2h3')]",,,draw,800,UCB
game46,6,"[68.85349666000002, 69.68657064000035, 68.38612029999967]","[Move.from_uci('b1c3'), Move.from_uci('c3b1'), Move.from_uci('f2f3')]",,,draw,800,UCB
game47,6,"[69.08892835000006, 70.34762841000156, 70.26179066999975]","[Move.from_uci('g2g4'), Move.from_uci('a2a3'), Move.from_uci('a1a2')]",,,draw,800,UCB
game48,6,"[69.64281056999971, 70.84089241000038, 68.80264023999916]","[Move.from_uci('g2g4'), Move.from_uci('b1c3'), Move.from_uci('g1f3')]",,,draw,800,UCB
game49,6,"[69.53509155000029, 69.67513533999954, 70.0921703899985]","[Move.from_uci('e2e3'), Move.from_uci('b1a3'), Move.from_uci('a3b1')]",,,draw,800,UCB
