game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game0,13,[4.50018861|4.967249441|4.642335487|5.052627123000001|4.610039857|3.2645658259999983|1.3011109519999984],mate_in_2,0,White,100,UCB
game1,20,[5.130707037000004|5.072390523999999|4.885659148000002|4.8320320350000046|5.245312429000002|5.0022764550000005|5.188914382000007|5.6606455109999985|5.723378463000003|4.781199954000002],mate_in_2,0,draw,100,UCB
game2,3,[3.4255142779999943|0.8635789549999942],mate_in_2,0,White,100,UCB
game3,20,[4.871342908000003|5.1796945170000015|4.574794731000011|4.878902894999996|4.887843020999995|5.057861986000006|5.616785407999998|4.87215903900001|4.841933631999993|4.699984108999985],mate_in_2,0,draw,100,UCB
game4,3,[4.881451706000007|1.990332732000013],mate_in_2,0,White,100,UCB
game5,20,[4.668471933000006|5.001302914999997|4.576246770000012|4.817244348000003|4.709214344999992|4.392258666000004|4.355328013000019|4.584922965000004|5.073493739000014|4.361366446999995],mate_in_2,0,draw,100,UCB
game6,17,[4.927443702000005|5.147815968999993|4.993365941999997|5.268442844999981|4.9732298410000055|5.083842070000003|4.831897456000007|4.438053611000015|1.637465863000017],mate_in_2,0,White,100,UCB
game7,3,[4.597607634000013|1.9105111650000026],mate_in_2,0,White,100,UCB
game8,3,[4.683949696000013|1.5049376940000059],mate_in_2,0,White,100,UCB
game9,3,[5.409317494000021|1.851301828000004],mate_in_2,0,White,100,UCB
game0,20,[6.263464026000008|6.816464085999996|6.687402243999998|6.262139020000006|6.617143324999972|6.62500294900002|6.84815062499996|6.78708658000005|6.504490595999982|5.979011215999947],mate_in_3,0,draw,100,UCB
game1,20,[6.347994271000005|6.478685054999971|6.531775003000007|6.537730646|6.097708173000001|6.364170336000029|6.41442275899999|6.428904452999973|6.321919070000035|6.48264052799999],mate_in_3,0,draw,100,UCB
game2,20,[6.259659725999995|6.253133942999966|6.486983823000003|6.0413125200000195|6.74967439400001|6.3700664910000455|6.665665639999986|6.8063200240000015|6.15737836400001|6.053611273000001],mate_in_3,0,draw,100,UCB
game3,20,[6.449521946999994|6.954395927000007|6.230484665999995|6.879104078000012|7.057686041000011|7.034664539999994|7.202182280000045|7.122204311000019|6.651008933000014|7.0943251020000275],mate_in_3,0,draw,100,UCB
game4,20,[6.364525262000029|6.694857344999946|6.9203536960000065|7.0657922599999665|6.3030358109999725|6.496577366999986|6.344730828000024|6.514083367000012|6.665813009999965|7.030178575000036],mate_in_3,0,draw,100,UCB
game5,9,[6.922176428000057|6.649996791999911|6.620896540000103|5.556229751000046|1.7738059280000016],mate_in_3,0,White,100,UCB
game6,20,[6.237944755000058|7.077048492000017|6.677740928000048|7.1810817799999995|6.733047251000016|7.378686334000008|6.743356273000018|6.733594306999976|6.573689802999979|6.875833452999927],mate_in_3,0,draw,100,UCB
game7,20,[6.399065511999993|6.015874222999969|6.594937913999956|6.459396757000036|6.655217000999983|6.287710272000027|7.021407661000012|6.36855664899997|6.847779904999925|6.74891676499999],mate_in_3,0,draw,100,UCB
game8,13,[6.255778498000041|6.532710874000031|6.501597307999987|6.3620763829999305|5.9330845169999975|6.172367593999979|2.358591249999904],mate_in_3,0,White,100,UCB
game9,5,[6.576805848999925|6.278727668999977|2.176147159999914],mate_in_3,0,White,100,UCB
