board,moving_colour,move
01000000000000000000000001000100000000000001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100100000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000010000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,e4f6
01000000000000000000000001000100000000000001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100100000000001000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,d7f6
01000000000000000000000001000100000000000001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,f3g3
01000000000000000000000001000100000000000001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,c8f5
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000100000000000000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000010000000000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,d2d3
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000100000000000000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,f5g6
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000100000000000100000,1,g1e2
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000011000000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000000001001000000000000010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000000010000000100000,1,e7e6
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000001000000000000010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000100000000000000010000000000010000000000000100000000000010000000100000,1,c1f4
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000001000000000000010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000000100000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f6h5
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010010000000000/00000000000010000000000001000000000100000000000000010000000000001000000000100000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000000100000000001000000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,g3f3
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010010000000000/00000000000010000000000001000000000100000000000000010000000000001000000000100000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,h5f4
